iter	Passed	Remaining
0	49	49926
1	50	25243
2	51	16987
3	51	12939
4	52	10481
5	53	8872
6	54	7697
7	55	6822
8	55	6144
9	56	5619
10	57	5132
11	57	4759
12	58	4447
13	58	4149
14	59	3918
15	60	3707
16	61	3532
17	61	3375
18	62	3230
19	63	3100
20	64	2983
21	64	2880
22	65	2788
23	66	2697
24	66	2609
25	67	2518
26	67	2439
27	68	2375
28	69	2315
29	69	2258
30	70	2200
31	71	2151
32	71	2107
33	72	2068
34	73	2031
35	74	1993
36	74	1945
37	75	1901
38	75	1857
39	75	1823
40	76	1785
41	76	1754
42	77	1724
43	77	1691
44	78	1663
45	78	1635
46	79	1608
47	79	1578
48	79	1548
49	80	1526
50	80	1504
51	81	1482
52	81	1461
53	82	1441
54	82	1422
55	83	1401
56	83	1383
57	83	1361
58	84	1344
59	84	1329
60	85	1310
61	85	1294
62	86	1279
63	86	1262
64	86	1248
65	87	1233
66	87	1220
67	88	1207
68	88	1195
69	89	1183
70	89	1171
71	89	1158
72	90	1147
73	90	1137
74	91	1127
75	91	1117
76	92	1107
77	92	1097
78	93	1087
79	93	1077
80	94	1067
81	94	1059
82	95	1050
83	95	1039
84	95	1030
85	96	1021
86	96	1014
87	96	1003
88	97	995
89	97	988
90	98	981
91	98	974
92	99	967
93	99	960
94	99	951
95	100	943
96	100	937
97	101	931
98	101	925
99	102	919
100	102	913
101	103	907
102	103	902
103	104	896
104	104	891
105	105	886
106	105	880
107	106	875
108	106	870
109	106	865
110	107	860
111	107	855
112	108	851
113	108	846
114	109	840
115	109	835
116	110	831
117	110	826
118	111	822
119	111	816
120	111	811
121	112	807
122	112	802
123	113	798
124	113	793
125	113	789
126	114	783
127	114	780
128	115	776
129	115	773
130	116	769
131	116	765
132	116	762
133	117	759
134	117	755
135	118	752
136	118	749
137	119	744
138	119	741
139	120	738
140	120	735
141	121	731
142	121	728
143	122	726
144	122	723
145	123	720
146	123	717
147	124	714
148	124	711
149	125	708
150	125	705
151	126	703
152	126	700
153	126	697
154	127	694
155	127	692
156	128	689
157	128	686
158	129	684
159	129	681
160	130	679
161	130	676
162	131	674
163	131	671
164	132	669
165	132	666
166	133	664
167	133	661
168	134	659
169	134	656
170	134	654
171	135	651
172	135	649
173	136	647
174	136	645
175	137	643
176	137	641
177	138	639
178	138	636
179	139	634
180	139	632
181	140	630
182	140	628
183	141	626
184	141	623
185	142	621
186	142	619
187	143	618
188	143	615
189	144	614
190	145	614
191	145	613
192	146	611
193	146	610
194	147	608
195	147	605
196	148	603
197	148	601
198	148	599
199	149	597
200	149	595
201	150	594
202	150	592
203	151	590
204	151	588
205	152	586
206	152	584
207	153	583
208	153	581
209	154	579
210	154	577
211	154	576
212	155	574
213	155	572
214	156	570
215	156	569
216	157	567
217	157	566
218	158	564
219	158	562
220	159	561
221	159	559
222	160	557
223	160	556
224	161	554
225	161	553
226	162	551
227	162	550
228	163	549
229	163	547
230	164	546
231	164	544
232	165	543
233	165	542
234	166	540
235	166	539
236	167	537
237	167	536
238	168	535
239	168	533
240	169	532
241	169	530
242	169	529
243	170	528
244	170	526
245	171	525
246	171	523
247	172	522
248	172	521
249	173	519
250	173	518
251	174	517
252	174	515
253	175	515
254	175	513
255	176	511
256	176	510
257	177	509
258	177	508
259	178	506
260	178	505
261	179	504
262	179	503
263	180	501
264	180	500
265	180	499
266	181	498
267	182	497
268	182	496
269	183	494
270	183	493
271	183	492
272	184	491
273	184	489
274	185	488
275	185	487
276	186	486
277	186	485
278	187	484
279	187	483
280	188	482
281	189	481
282	189	480
283	190	479
284	190	478
285	191	477
286	191	476
287	192	475
288	192	474
289	193	472
290	193	472
291	194	471
292	194	470
293	195	468
294	195	467
295	196	466
296	196	465
297	197	464
298	197	463
299	198	462
300	198	461
301	199	460
302	199	459
303	200	458
304	200	456
305	201	455
306	201	454
307	202	453
308	202	452
309	203	451
310	203	450
311	204	449
312	204	448
313	204	447
314	205	446
315	205	445
316	206	444
317	206	443
318	207	442
319	207	441
320	208	440
321	208	439
322	209	438
323	209	437
324	210	436
325	210	435
326	211	434
327	211	433
328	212	432
329	212	431
330	213	430
331	213	429
332	214	428
333	214	427
334	214	426
335	215	425
336	215	424
337	216	423
338	216	422
339	217	421
340	217	420
341	218	419
342	218	419
343	219	417
344	219	417
345	220	416
346	220	415
347	221	414
348	221	413
349	222	412
350	222	411
351	223	410
352	223	410
353	224	409
354	224	408
355	225	407
356	225	406
357	226	405
358	226	405
359	227	404
360	227	403
361	228	402
362	228	401
363	229	400
364	229	399
365	230	398
366	230	397
367	231	396
368	231	396
369	232	395
370	232	394
371	233	393
372	233	392
373	234	391
374	234	390
375	234	389
376	235	389
377	235	388
378	236	387
379	236	386
380	237	385
381	237	384
382	238	383
383	238	383
384	239	382
385	239	381
386	240	380
387	240	379
388	241	378
389	241	378
390	242	377
391	242	376
392	243	375
393	243	374
394	244	373
395	244	373
396	245	372
397	245	371
398	246	370
399	246	369
400	247	369
401	247	368
402	248	367
403	248	366
404	249	366
405	249	365
406	250	364
407	250	363
408	251	362
409	251	361
410	251	361
411	252	360
412	252	359
413	253	358
414	253	357
415	254	356
416	254	356
417	255	355
418	255	354
419	256	353
420	256	352
421	257	352
422	257	351
423	258	350
424	258	349
425	259	349
426	259	348
427	260	347
428	260	346
429	260	345
430	261	345
431	261	344
432	262	343
433	262	342
434	263	342
435	263	341
436	264	340
437	264	339
438	265	339
439	265	338
440	266	337
441	266	336
442	267	335
443	267	335
444	268	334
445	268	333
446	269	332
447	269	332
448	270	331
449	270	330
450	270	329
451	271	329
452	271	328
453	272	327
454	272	326
455	273	325
456	273	325
457	274	324
458	274	323
459	275	322
460	275	322
461	276	321
462	276	320
463	277	320
464	277	319
465	278	318
466	278	317
467	279	317
468	279	316
469	279	315
470	280	315
471	281	314
472	281	313
473	282	313
474	282	312
475	283	311
476	283	310
477	283	310
478	284	309
479	285	308
480	285	308
481	285	307
482	286	306
483	286	305
484	287	305
485	287	304
486	288	303
487	288	302
488	289	302
489	289	301
490	290	300
491	290	300
492	291	299
493	291	298
494	292	297
495	292	297
496	292	296
497	293	295
498	293	295
499	294	294
500	294	293
501	295	292
502	295	292
503	296	291
504	296	290
505	297	290
506	297	289
507	298	288
508	298	288
509	299	287
510	299	286
511	299	285
512	300	285
513	301	284
514	301	283
515	302	283
516	302	282
517	302	281
518	303	281
519	303	280
520	304	279
521	304	279
522	305	278
523	305	277
524	306	276
525	306	276
526	307	275
527	307	274
528	308	274
529	308	273
530	309	272
531	309	272
532	310	271
533	310	270
534	310	270
535	311	269
536	311	268
537	312	268
538	312	267
539	313	267
540	313	266
541	314	265
542	314	265
543	315	264
544	315	263
545	316	263
546	316	262
547	317	261
548	317	260
549	318	260
550	318	259
551	319	258
552	319	258
553	320	257
554	320	257
555	321	256
556	321	255
557	322	255
558	322	254
559	323	254
560	323	253
561	324	252
562	324	252
563	325	251
564	325	250
565	326	250
566	326	249
567	327	248
568	327	248
569	328	247
570	328	246
571	329	246
572	329	245
573	329	244
574	330	244
575	330	243
576	331	242
577	331	242
578	332	241
579	332	240
580	333	240
581	333	239
582	334	238
583	334	238
584	334	237
585	335	236
586	335	236
587	336	235
588	336	235
589	337	234
590	337	233
591	338	233
592	338	232
593	339	231
594	339	231
595	340	230
596	340	229
597	341	229
598	341	228
599	342	228
600	342	227
601	343	226
602	343	226
603	344	225
604	344	224
605	344	224
606	345	223
607	345	222
608	346	222
609	346	221
610	347	221
611	347	220
612	348	219
613	348	219
614	349	218
615	349	218
616	350	217
617	350	216
618	351	216
619	351	215
620	352	215
621	352	214
622	353	213
623	353	213
624	354	212
625	354	211
626	355	211
627	355	210
628	356	210
629	356	209
630	357	208
631	357	208
632	357	207
633	358	206
634	358	206
635	359	205
636	359	205
637	360	204
638	360	203
639	361	203
640	361	202
641	362	201
642	362	201
643	363	200
644	363	200
645	364	199
646	364	198
647	365	198
648	365	197
649	366	197
650	366	196
651	367	196
652	367	195
653	368	194
654	368	194
655	369	193
656	369	192
657	370	192
658	370	191
659	371	191
660	371	190
661	372	190
662	372	189
663	373	188
664	373	188
665	374	187
666	374	187
667	375	186
668	375	185
669	376	185
670	376	184
671	377	184
672	377	183
673	378	182
674	378	182
675	379	181
676	379	181
677	380	180
678	380	179
679	380	179
680	381	178
681	381	178
682	382	177
683	383	176
684	383	176
685	383	175
686	384	175
687	384	174
688	385	173
689	385	173
690	386	172
691	386	172
692	387	171
693	387	171
694	388	170
695	388	169
696	389	169
697	389	168
698	390	168
699	390	167
700	391	166
701	391	166
702	392	165
703	392	165
704	393	164
705	393	163
706	394	163
707	394	162
708	395	162
709	395	161
710	396	160
711	396	160
712	397	159
713	397	159
714	398	158
715	398	158
716	398	157
717	399	156
718	399	156
719	400	155
720	400	155
721	401	154
722	401	153
723	402	153
724	402	152
725	403	152
726	403	151
727	404	151
728	404	150
729	405	149
730	405	149
731	406	148
732	406	148
733	407	147
734	407	146
735	408	146
736	408	145
737	409	145
738	409	144
739	410	144
740	410	143
741	411	142
742	411	142
743	411	141
744	412	141
745	413	140
746	413	140
747	414	139
748	414	138
749	414	138
750	415	137
751	415	137
752	416	136
753	416	136
754	417	135
755	417	134
756	418	134
757	418	133
758	419	133
759	419	132
760	420	131
761	420	131
762	421	130
763	421	130
764	422	129
765	422	129
766	423	128
767	423	127
768	424	127
769	424	126
770	425	126
771	425	125
772	426	125
773	426	124
774	427	124
775	427	123
776	428	122
777	428	122
778	429	121
779	429	121
780	430	120
781	430	120
782	431	119
783	431	118
784	431	118
785	432	117
786	432	117
787	433	116
788	433	116
789	434	115
790	434	114
791	435	114
792	435	113
793	436	113
794	436	112
795	437	112
796	437	111
797	438	110
798	438	110
799	439	109
800	439	109
801	440	108
802	440	108
803	440	107
804	441	106
805	441	106
806	442	105
807	442	105
808	443	104
809	443	104
810	444	103
811	444	103
812	445	102
813	446	101
814	446	101
815	447	100
816	447	100
817	448	99
818	448	99
819	449	98
820	449	98
821	449	97
822	450	96
823	450	96
