iter	RMSE
0	11642.09567
1	11303.27735
2	10974.90103
3	10663.89575
4	10341.85061
5	10037.9696
6	9778.559343
7	9510.967862
8	9254.218329
9	9030.425487
10	8805.89927
11	8589.880464
12	8397.240214
13	8190.777504
14	7994.29164
15	7805.980026
16	7614.723541
17	7439.082375
18	7268.959177
19	7107.643163
20	6967.195965
21	6832.624347
22	6709.708466
23	6580.547812
24	6462.610093
25	6353.256172
26	6238.485105
27	6131.911515
28	6039.85041
29	5947.162051
30	5853.613198
31	5774.332967
32	5692.826188
33	5618.292878
34	5547.369829
35	5472.753457
36	5413.662569
37	5356.818903
38	5303.772735
39	5250.363263
40	5204.799846
41	5153.714959
42	5106.372619
43	5065.028826
44	5018.612011
45	4980.079786
46	4941.559294
47	4911.913464
48	4883.186713
49	4850.827124
50	4817.855305
51	4791.901819
52	4766.823693
53	4739.172802
54	4712.904597
55	4690.29352
56	4668.725679
57	4653.01442
58	4633.471078
59	4611.486684
60	4597.473481
61	4576.205704
62	4559.122737
63	4547.286894
64	4533.265002
65	4521.497467
66	4504.604033
67	4491.116694
68	4481.930534
69	4467.647156
70	4456.53523
71	4448.132315
72	4437.368562
73	4424.944508
74	4415.221012
75	4405.612548
76	4395.327261
77	4386.84473
78	4377.778127
79	4374.261332
80	4366.025633
81	4357.807928
82	4350.21318
83	4347.818834
84	4339.811926
85	4335.750981
86	4328.156602
87	4326.776926
88	4319.859045
89	4313.473209
90	4307.75174
91	4301.698097
92	4293.75348
93	4288.606056
94	4286.573216
95	4283.456068
96	4277.63714
97	4270.638564
98	4266.089524
99	4262.93848
100	4258.934074
101	4253.653066
102	4249.260724
103	4246.117936
104	4240.67881
105	4234.151688
106	4230.026549
107	4226.943055
108	4220.529278
109	4216.626922
110	4211.348438
111	4207.677088
112	4200.393459
113	4197.961758
114	4197.11078
115	4194.264114
116	4188.971405
117	4184.941528
118	4182.492495
119	4181.982272
120	4178.123562
121	4174.12163
122	4172.650576
123	4170.090673
124	4169.182273
125	4163.082611
126	4162.109021
127	4159.253476
128	4157.386893
129	4154.592181
130	4150.934813
131	4145.522069
132	4142.686518
133	4139.853481
134	4136.68259
135	4130.70101
136	4128.387131
137	4127.483411
138	4124.190403
139	4121.833639
140	4119.753082
141	4116.238327
142	4113.20235
143	4110.540106
144	4109.137629
145	4106.903528
146	4104.293261
147	4097.461332
148	4095.213652
149	4093.923487
150	4090.25428
151	4086.462315
152	4083.309762
153	4081.394419
154	4074.316994
155	4069.38987
156	4066.51713
157	4062.086262
158	4055.789941
159	4051.391088
160	4046.95631
161	4044.218306
162	4039.864846
163	4035.233857
164	4030.788726
165	4025.9248
166	4024.248496
167	4022.299207
168	4020.931861
169	4017.732786
170	4013.499838
171	4011.190202
172	4006.463147
173	4002.992738
174	4001.168112
175	3997.843828
176	3990.372178
177	3985.998772
178	3982.115151
179	3978.826621
180	3976.264372
181	3973.592536
182	3965.820545
183	3963.883845
184	3958.12216
185	3953.536891
186	3951.231413
187	3948.66309
188	3946.869828
189	3946.24601
190	3942.415524
191	3939.988713
192	3938.103957
193	3935.412478
194	3932.132729
195	3931.765751
196	3929.000249
197	3927.74504
198	3925.064444
199	3922.390101
200	3918.092114
201	3915.536474
202	3913.241911
203	3911.474949
204	3908.7151
205	3906.120069
206	3904.069077
207	3903.488823
208	3901.310623
209	3898.443787
210	3896.528368
211	3895.552755
212	3894.794634
213	3893.761647
214	3891.965055
215	3891.085418
216	3888.128029
217	3886.061301
218	3884.576772
219	3881.016531
220	3880.254301
221	3877.136213
222	3876.272846
223	3875.005694
224	3872.744791
225	3871.788417
226	3869.257559
227	3868.322764
228	3865.755823
229	3864.567801
230	3863.100862
231	3861.36394
232	3857.644802
233	3856.760691
234	3854.955973
235	3854.216618
236	3851.299137
237	3848.300978
238	3844.566078
239	3842.964144
240	3840.210421
241	3837.345125
