iter	Passed	Remaining
0	1	1434
1	1	957
2	2	744
3	2	678
4	3	642
5	3	612
6	4	596
7	4	579
8	5	568
9	5	557
10	5	526
11	6	519
12	6	517
13	7	494
14	7	492
15	7	491
16	8	489
17	8	487
18	9	484
19	9	482
20	10	481
21	10	481
22	11	479
23	11	477
24	12	476
25	12	465
26	12	460
27	13	461
28	13	461
29	14	461
30	14	457
31	15	457
32	15	457
33	16	458
34	16	457
35	17	456
36	17	451
37	17	445
38	17	439
39	18	439
40	18	433
41	19	433
42	19	433
43	19	431
44	20	431
45	20	431
46	21	431
47	21	426
48	21	421
49	22	421
50	22	421
51	23	421
52	23	421
53	24	421
54	24	421
55	24	419
56	25	419
57	25	415
58	26	414
59	26	414
60	26	411
61	27	411
62	27	411
63	27	408
64	28	413
65	29	411
66	29	411
67	30	411
68	30	411
69	30	411
70	31	410
71	31	409
72	32	409
73	32	409
74	33	409
75	33	409
76	34	409
77	34	409
78	35	409
79	35	407
80	35	407
81	36	407
82	36	407
83	37	404
84	37	404
85	37	402
86	38	402
87	38	399
88	39	399
89	39	399
90	39	399
91	40	399
92	40	399
93	41	399
94	41	396
95	41	394
96	42	394
97	42	394
98	43	395
99	43	395
100	44	395
101	44	395
102	45	395
103	45	395
104	46	395
105	46	395
106	47	394
107	47	394
108	48	394
109	48	394
110	49	393
111	49	393
112	50	393
113	50	393
114	50	391
115	51	391
116	51	391
117	52	391
118	52	390
119	52	388
120	53	388
121	53	388
122	54	387
123	54	386
124	54	384
125	55	384
126	55	382
127	56	382
128	56	382
129	57	381
130	57	381
131	58	381
132	58	381
133	58	381
134	59	380
135	59	380
136	60	380
137	60	379
138	61	378
139	61	379
140	62	378
141	62	378
142	63	378
143	63	378
144	64	378
145	64	378
146	65	377
147	65	377
148	66	377
149	66	376
150	66	376
151	67	376
152	67	376
153	68	375
154	68	375
155	69	375
156	69	374
157	70	374
158	70	373
159	71	373
160	71	373
161	72	373
162	72	372
163	73	372
164	73	372
165	74	372
166	74	371
167	74	371
168	75	371
169	75	370
170	76	370
171	76	370
172	77	370
173	77	369
174	78	369
175	78	369
176	79	368
177	79	368
178	80	368
179	80	368
180	81	367
181	81	367
182	82	366
183	82	366
184	83	366
185	83	366
186	84	365
187	84	365
188	85	365
189	85	364
190	86	364
191	86	364
192	86	363
193	87	363
194	87	363
195	88	361
196	88	361
197	89	360
198	89	360
199	90	360
200	90	359
201	90	359
202	91	358
203	91	358
204	92	358
205	92	357
206	93	357
207	93	356
208	94	356
209	94	356
210	95	355
211	95	355
212	96	354
213	96	354
214	96	353
215	97	353
216	97	353
217	98	352
218	98	352
219	99	352
220	99	351
221	100	351
222	100	350
223	101	350
224	101	349
225	102	349
226	102	349
227	102	348
228	103	348
229	103	347
230	104	347
231	104	346
232	105	346
233	105	345
234	106	345
235	106	345
236	107	344
237	107	344
238	107	343
239	108	343
240	108	343
241	109	342
242	109	342
243	110	341
244	110	341
245	111	340
246	111	340
247	112	340
248	112	339
249	113	339
250	113	338
251	114	338
252	114	338
253	114	337
254	115	337
255	115	336
256	116	335
257	116	335
258	117	335
259	117	334
260	118	334
261	118	333
262	119	333
263	119	333
264	119	332
265	120	332
266	120	331
267	121	331
268	121	330
269	122	330
270	122	330
271	123	329
272	123	329
273	124	328
274	124	328
275	125	328
276	125	327
277	126	327
278	126	326
279	126	326
280	127	326
281	127	325
282	128	325
283	128	324
284	129	324
285	129	323
286	130	323
287	130	323
288	131	322
289	131	322
290	132	322
